	IMR90_iCherry	IMR90_iCherry	IMR90_iCherry	IMR90_iRAS	IMR90_iRAS	IMR90_iRAS
7892501	2.73864	2.34215	1.99558	2.31472	2.72425	2.4415
7892502	3.09762	2.79289	2.60205	2.58966	2.57668	3.01758
7892503	2.29538	2.25448	2.02805	2.41449	1.84129	2.3698
7892504	6.69274	6.8727	6.74013	6.67405	7.00006	6.97039
7892505	2.11836	2.80888	2.474	2.63342	2.53915	2.34094
7892506	2.41915	2.31336	2.11925	2.35291	2.88073	2.76296
7892507	2.33257	3.34388	2.16305	2.66835	3.12291	2.9709
7892508	2.60177	1.97089	2.00817	2.0739	2.08896	2.18931
7892509	8.30945	8.4856	8.48938	8.76881	8.9595	8.79183
7892510	3.01819	2.11427	2.32301	2.7435	3.47408	2.92147
7892511	3.15477	2.42167	2.78669	3.03224	2.52491	2.70551
7892512	2.88218	3.21949	4.03987	4.92764	4.56979	4.16681
7892513	2.1944	1.81071	2.20971	2.41841	2.75026	2.55213
7892514	9.27956	9.03196	9.00469	9.17877	9.35618	9.50929
7892515	7.83486	7.33698	7.45631	7.38398	7.95346	7.31546
7892516	2.75072	3.30691	2.65213	2.94916	2.96022	2.73614
7892517	3.5601	3.53133	3.49745	3.49586	3.2875	3.17008
7892518	2.62471	2.15302	2.72355	2.12151	2.17466	2.13403
7892519	2.5524	2.75304	2.53847	2.32228	2.31469	2.52601
7892520	6.83553	6.55522	6.70177	6.50209	7.16101	6.47194
7892521	4.9726	4.89732	4.51035	5.4417	5.38734	5.84095
7892522	4.64628	4.26581	4.17937	3.67562	4.18952	4.67593
7892524	2.76722	2.01678	2.58184	2.61262	2.67717	2.65439
7892525	3.20861	3.13771	3.1027	3.61483	3.19457	3.31105
7892526	2.64432	2.37581	2.33134	2.66157	2.3735	2.44368
7892527	4.97715	4.6435	4.57456	5.88147	4.46927	5.73987
7892528	2.19931	2.20218	1.71366	1.78744	2.34789	1.99888
7892529	3.57859	2.6664	2.92295	2.85898	2.78947	2.64095
7892530	6.35523	6.50133	6.25981	6.43633	6.21033	5.9206
7892531	3.76161	3.94527	3.30077	3.59751	2.97599	4.0804
7892532	2.36633	2.32355	1.94251	2.40558	2.73431	2.50052
7892533	6.3528	5.72683	5.32887	5.09691	5.63501	5.35578
7892534	2.45945	2.87388	2.90219	2.69125	2.67526	2.65802
7892535	3.10141	1.76439	4.43411	3.85306	3.77609	2.67901
7892536	9.31522	9.40708	9.31931	9.30938	9.19457	9.23643
7892537	2.40747	2.21081	2.1279	2.22749	2.76795	2.469
7892538	3.75243	3.69391	3.21609	3.60056	3.24154	3.02465
7892539	2.64854	2.06208	2.30136	2.13323	2.69431	2.09219
7892540	4.18652	4.18465	4.06325	4.09251	4.42625	3.91241
7892541	8.69023	8.82796	8.91053	8.8372	8.88579	8.82028
7892542	6.9698	7.17518	6.69784	6.76187	6.79244	6.8673
