Gene name	Human gene name
mt-Cytb	MT-CYB
mt-Nd6	MT-ND6
mt-Nd5	MT-ND5
mt-Nd4	MT-ND4
mt-Nd4l	MT-ND4L
mt-Nd3	MT-ND3
mt-Co3	MT-CO3
mt-Atp6	MT-ATP6
mt-Atp8	MT-ATP8
mt-Co2	MT-CO2
mt-Co1	MT-CO1
mt-Nd2	MT-ND2
mt-Nd1	MT-ND1
Cep89	CEP89
Gpx6	GPX6
Pappa2	PAPPA2
Mtcl1	MTCL1
Champ1	CHAMP1
CK137956	C1orf94
Grm6	GRM6
Ccl27a	CCL27
Gpr88	GPR88
Usp32	USP32
Usp32	USP6
Naip2	NAIP
Syn2	SYN2
Mrpl57	MRPL57
Eif3g	EIF3G
Omd	OMD
Ogn	OGN
Mtif3	MTIF3
Ebf1	EBF1
Cenpp	CENPP
Ighv1-53	IGHV1-24
Ighv1-53	IGHV1-69-2
Slc28a1	SLC28A1
Adssl1	ADSSL1
Vps4a	AC026464.4
Vps4a	VPS4A
Cyp2c68	CYP2C8
Cyp2c68	CYP2C9
Cyp2c68	CYP2C19
Ighv8-6	IGHV2-70
Ighv8-6	IGHV2OR16-5
Ighv8-6	IGHV2-5
Ighv8-6	IGHV2-70D
Ighv8-6	IGHV2-26
Leng9	LENG9
Metap2	METAP2
Hrg	HRG
Ammecr1	AMMECR1
Gm13420	PRRT1B
Bves	BVES
Ecm2	ECM2
Zyg11a	ZYG11A
Olfr63	OR10H4
Olfr63	OR10H3
Zdhhc20	ZDHHC20
Ubr3	UBR3
Ecsit	ECSIT
1700016G14Rik	C6orf229
Prss41	PRSS41
Aldh8a1	ALDH8A1
Pdf	PDF
Lnx2	LNX2
Gm17067	ZNF124
Stoml2	STOML2
Slc44a1	SLC44A1
Rnf111	RNF111
Cog8	COG8
Cog8	AC026464.3
Cog8	COG8
Snu13	SNU13
Ippk	IPPK
Coq4	COQ4
Knstrn	KNSTRN
Lpcat2	LPCAT2
Lin28b	LIN28B
Ptgr1	PTGR1
Crabp2	CRABP2
Tnks1bp1	TNKS1BP1
Usp54	USP54
Glrx	GLRX
Epb42	EPB42
Gm2042	PRAMEF27
Gm2042	PRAMEF2
Gm2042	PRAMEF4
Gm2042	PRAMEF15
Gm2042	PRAMEF6
Gm2042	PRAMEF7
Gm2042	PRAMEF17
Gm2042	PRAMEF25
Gm2042	PRAMEF18
Gm2042	PRAMEF1
Gm2042	PRAMEF19
Gm2042	PRAMEF11
Gm2042	PRAMEF33
Gm2042	PRAMEF12
Gm2042	PRAMEF20
Gm2042	PRAME
Gm2042	PRAMEF13
Gm2042	PRAMEF10
Gm2042	PRAMEF14
Gm2042	PRAMEF8
Gm2042	PRAMEF5
Gm2042	PRAMEF9
Gm2042	PRAMEF26
Pbx4	PBX4
Nol10	NOL10
Tusc1	TUSC1
Wdr60	WDR60
Zfp653	ZNF653
Polr1d	POLR1D
Hormad1	HORMAD1
Hmgb4	HMGB4
Usp48	USP48
Csmd2	CSMD2
Fbxw26	FBXW12
Nsd2	NSD2
Csf1	CSF1
BC030499	SGK494
Calcr	CALCR
Pde6b	PDE6B
Zfp532	ZNF532
Cyp2c40	CYP2C8
Cyp2c40	CYP2C9
Cyp2c40	CYP2C19
Ces2f	CES2
Gsx1	GSX1
Adamts4	ADAMTS4
Lrrc4c	LRRC4C
Folr2	FOLR2
Pdx1	PDX1
AC163623.1	AC008481.3
Dnajc3	DNAJC3
Elavl3	ELAVL3
Il23r	IL23R
Hs3st3a1	HS3ST3A1
Hs3st3a1	HS3ST3B1
Olfr746	OR11H7
Apom	APOM
Capns2	CAPNS2
Zscan12	ZSCAN12
Fam92a	FAM92A
Cdx2	CDX2
Eif3k	EIF3K
Coprs	COPRS
Trub2	TRUB2
Map10	MAP10
Rrp15	RRP15
Spert	SPERT
Dmrtc1b	DMRTC1B
Dmrtc1b	DMRTC1
Rhobtb3	RHOBTB3
Ccdc154	CCDC154
Urad	URAD
Olfr1135	OR5W2
Kcng2	KCNG2
A4gnt	A4GNT
Rpp25l	RPP25L
Ndufs2	NDUFS2
Lgals3	LGALS3
Isyna1	ISYNA1
Gk5	GK5
Emilin1	EMILIN1
Nlrp3	NLRP3
Flt3	FLT3
Akap10	AKAP10
Phc3	PHC3
Abraxas1	ABRAXAS1
Pak1ip1	PAK1IP1
Gm2381	ZNF124
Arnt2	ARNT2
Pelp1	PELP1
Mat2b	MAT2B
Hace1	HACE1
Akt1s1	AKT1S1
Spata6	SPATA6
Slitrk2	SLITRK2
Cd2bp2	CD2BP2
Ppp1r36	PPP1R36
Zmiz2	ZMIZ2
Zfp467	ZNF467
